frameNumber,hitIndex,station,layer,ladder,chip,pixel_x,pixel_y
2,510726792,1,4,20,11,18,114
2,522823029,1,4,26,3,165,133
2,523063690,1,4,26,7,81,112
2,523283632,1,4,26,10,172,74
2,523522236,1,4,26,14,80,62
2,523824034,1,4,26,18,235,88
2,524758350,1,4,27,1,45,172
2,524984151,1,4,27,4,159,163
2,525220720,1,4,27,8,59,138
2,525445743,1,4,27,11,170,139
2,525700745,1,4,27,15,142,113
2,527162477,1,4,28,5,220,141
2,676562188,2,3,3,12,133,238
2,678660600,2,3,4,12,137,2
2,682802603,2,3,6,11,189,79
2,694705446,2,3,12,1,93,212
2,695717776,2,3,12,16,207,106
2,711880537,2,3,20,7,111,161
2,743560988,2,4,3,11,215,222
2,751945852,2,4,7,11,200,126
2,757530890,2,4,10,1,1,240
2,757617161,2,4,10,2,82,241
2,765955192,2,4,14,1,140,130
2,766917357,2,4,14,16,58,13
2,785186717,2,4,23,6,255,93
3,2250377,0,1,2,2,170,113
3,2433200,0,1,2,5,224,74
3,6469321,0,1,4,2,74,49
3,6644675,0,1,4,5,157,55
3,8590454,0,1,5,3,236,132
3,10634127,0,1,6,2,189,107
3,10663559,0,1,6,2,74,115
3,10759879,0,1,6,4,210,51
3,12906704,0,1,7,4,16,42
3,14787596,0,1,8,1,92,238
3,67467835,0,2,1,5,134,191
3,67555044,0,2,1,6,50,22
3,69356323,0,2,2,2,181,215
3,73759239,0,2,4,5,134,243
3,75663081,0,2,5,2,122,17
3,75856376,0,2,5,5,135,2
3,79832657,0,2,7,2,218,169
3,79876393,0,2,7,2,47,209
3,79910368,0,2,7,3,171,26
3,80001437,0,2,7,4,71,93
3,86260185,0,2,10,4,199,33
3,139640218,0,3,3,11,189,96
3,139735617,0,3,3,13,50,185
3,141654545,0,3,4,10,122,233
3,141721351,0,3,4,11,127,243
3,141726355,0,3,4,11,146,103
3,141797908,0,3,4,12,170,230
3,141809314,0,3,4,12,214,88
3,141945573,0,3,4,14,234,21
3,143662931,0,3,5,9,31,167
3,143819498,0,3,5,11,130,16
3,143979402,0,3,5,13,243,112
3,150269012,0,3,8,13,236,166
3,152048305,0,3,9,9,18,73
3,153952400,0,3,10,6,32,106
3,156170083,0,3,11,7,247,151
3,158212840,0,3,12,7,34,18
3,162114976,0,3,14,2,173,90
3,162916219,0,3,14,14,231,127
3,172653465,0,3,19,3,123,97
