tid,traj_p,traj_pt,traj_lambda,traj_phi,num_hits_x,hit_IDs,num_hits_y
213707.0,[20.4394601],[20.36638084],[-0.04195909],[0.51452642],35,"[81900576, 244181441, 160248000, 84182436, 12694374, 250444487, 229492780, 170796078, 174980111, 81877841, 174970674, 250434803, 67202166, 171074967, 86250358, 158220089, 92605]",17
214906.0,[14.50885366],[14.48913772],[-0.02399838],[-1.10405804],52,"[67304704, 248758272, 177126275, 81935495, 300168, 250464906, 177113238, 67192346, 177095333, 81978150, 162418601, 250476973, 233716397, 180527, 67413040, 65598, 177108159, 12776385, 84166594, 81968969, 12867401, 194897, 69387223, 177728472, 162437847, 250493794, 69271780, 12668005, 162631024, 69402098, 250481524]",31
215674.0,[21.2629306],[21.26271881],[0.00239316],[0.3776019],41,"[179247489, 217117058, 214812802, 147856136, 147948300, 145638031, 147962641, 143777557, 215006614, 147778071, 254714519, 145708441, 179201177, 147812896, 163874, 216950565, 217027367, 147840554, 71981, 215047602, 143724089, 147749180, 147745084, 147851838, 216986684, 216919101, 216932419, 254666950, 217139276, 69369809, 214870865, 69278425, 145818073, 77762145, 147846890, 214863722, 214863978, 149953524, 150045689, 8555899, 145682557]",41
216336.0,[22.80116543],[17.17489658],[-0.39247276],[0.40073055],6,"[248161688, 174832530, 424296874, 67233575]",4
219954.0,[7.07911846],[7.07891152],[0.00909717],[1.09319262],40,"[79782535, 71553288, 79855118, 77798803, 71535894, 8590746, 71629082, 77668133, 143603238, 4294311, 4364965, 4448678, 4427693, 149888047, 4391602, 10578621, 4326594, 147749961, 77839434, 71480398, 10649428, 73573850, 4375008, 145615205, 143565927, 141425000, 77848935, 8631402, 73532908, 73501171, 73650937, 8644223]",32
221570.0,[23.68546093],[20.46870164],[-0.28699352],[0.98758107],6,"[504406184, 69461820, 181298013]",3
223258.0,[16.38877244],[15.64867729],[-0.16212903],[-0.33721643],4,"[244097456, 86076866, 170745567]",3
223342.0,[22.10807394],[22.00167386],[0.05919275],[-1.32286663],8,"[80022497, 225591946, 154316909, 8721214]",4
224599.0,[20.58606198],[20.36285514],[-0.07672417],[-0.0707121],10,"[210516305, 176930778, 175142046, 67421551]",4
227220.0,[24.21232667],[24.04091959],[0.07076754],[0.40762586],97,"[77777926, 141845000, 256792077, 294413, 147867154, 140828, 181598751, 150039583, 77752358, 8757290, 181374506, 257269805, 149780014, 8544824, 256706619, 219078719, 150190144, 218956866, 219367492, 181332550, 256799310, 144008283, 69619805, 150376542, 71670886, 147781739, 69544046, 69543538, 71673973, 71673974, 71752316, 181458048, 259015299, 71631493, 69367438, 71666839, 181334682, 71725216, 135563940, 71649445, 69501609, 258942634, 71761583, 71761584, 79842991, 2508979, 71758004, 2437301, 69345461, 2438860, 69376725, 10638042, 259156711, 80085225, 181574893, 183547631, 77966609, 8570140, 254947101, 219217192, 8784168, 149902123, 147754799, 181808967, 219544905, 148194636, 71703378, 256919380, 147948896, 183687522, 71671142, 217037684, 71673717, 71752572, 216924547, 71631749, 181238663, 71667096, 71724959, 79971235, 202721701, 202541995, 69528496, 211091379, 183890879, 10767307, 79891413, 216953304, 217354721, 2257381, 217115112, 143942123, 79875059]",93
227962.0,[24.45122401],[24.37262647],[-0.03953063],[1.1389839],35,"[162520105, 137408876, 206589708, 139510766, 86303564, 206580912, 206539057, 137363733, 137578646, 71537143, 71613660]",11
230347.0,[8.97963966],[8.8383538],[0.10320212],[-1.40050955],39,"[14927332, 239913687, 86204268, 168829394, 166528786, 240091988, 12843508, 86209335, 81922748]",9
231212.0,[8.27890221],[8.27489116],[-0.01237088],[-0.19468058],17,"[221408779, 150143316, 6705958, 75913750]",4
233080.0,[23.92926032],[23.92888935],[0.00178149],[1.60235862],24,"[217078912, 238568836, 8692870, 165204744, 84266124, 238348431, 164983828, 77898906, 147905439, 217637160, 148245034, 217157691, 8760415, 166826981, 219520238, 77964913, 167302133, 238095736, 12961401]",19
233845.0,[28.8226907],[28.3589422],[-0.0945643],[0.71615657],35,"[135393539, 79927685, 80080519, 71548302, 225654162, 258941714, 135078303, 135113505, 225494180, 2461221, 71668134, 154386213, 183479594, 204568748, 259081518, 206965168, 154228020, 183619395, 204290510, 225223886, 225412562, 153953114, 757558620, 154140510, 73774058, 688403052, 225238254, 4569968, 137490929, 153965173]",30
